City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Xining,36.6167,101.7667,42.46,51,10,4.61,CN,1613021127
Bridlington,54.0831,-0.1919,34.0,68,95,5.01,GB,1613021128
Kidal,18.4411,1.4078,68.4,20,54,10.02,ML,1613021128
Pevek,69.7008,170.3133,-18.36,72,0,1.61,RU,1613021128
Rikitea,-23.1203,-134.9692,78.44,79,2,14.25,PF,1613021128
Albany,42.6001,-73.9662,23.0,46,100,1.88,US,1613021129
Barrow,71.2906,-156.7887,-43.6,83,1,12.66,US,1613020886
Provideniya,64.3833,-173.3,-11.2,64,0,22.37,RU,1613021129
Ribeira Grande,38.5167,-28.7,59.77,65,33,25.88,PT,1613021129
Butaritari,3.0707,172.7902,81.82,76,100,14.05,KI,1613021130
Katangli,51.7102,143.2326,20.23,96,100,13.44,RU,1613021130
Bluff,-46.6,168.3333,52.72,83,100,26.04,NZ,1613021131
Piura,-5.2,-80.6333,78.48,65,100,6.15,PE,1613020924
Ushuaia,-54.8,-68.3,64.4,48,0,3.44,AR,1613021131
Bacungan,9.9106,118.7022,87.8,62,40,6.91,PH,1613021132
Santa Maria,-29.6842,-53.8069,66.36,94,92,4.16,BR,1613020867
Lebu,-37.6167,-73.65,58.77,97,12,8.84,CL,1613021132
Tutóia,-2.7619,-42.2744,79.41,87,100,9.17,BR,1613021132
Chapecó,-27.0964,-52.6183,59.25,99,98,2.08,BR,1613021133
Jamestown,42.097,-79.2353,18.0,86,90,4.61,US,1613021133
Yining,29.0361,114.5636,59.34,73,96,3.22,CN,1613021133
Coquimbo,-29.9533,-71.3436,62.6,82,90,3.44,CL,1613020999
Oranjestad,12.524,-70.027,77.0,83,20,20.31,AW,1613021134
Buala,-8.145,159.5921,81.55,79,100,10.58,SB,1613021109
Busselton,-33.65,115.3333,69.01,61,78,4.0,AU,1613021134
Wajima,37.4,136.9,44.6,61,75,6.91,JP,1613021135
Luanda,-8.8368,13.2343,77.0,88,75,4.61,AO,1613020885
Hilo,19.7297,-155.09,71.6,68,20,7.43,US,1613020891
Yellowknife,62.456,-114.3525,-15.0,76,40,4.61,CA,1613021135
Acapulco de Juárez,16.8634,-99.8901,74.46,80,0,6.91,MX,1613021136
Sibolga,1.7427,98.7792,87.21,60,67,4.76,ID,1613021136
Moramanga,-18.9333,48.2,63.0,94,100,1.1,MG,1613021136
Puerto Ayora,-0.7393,-90.3518,75.0,99,68,5.66,EC,1613021136
Clarence Town,-32.5833,151.7833,86.0,50,20,10.36,AU,1613021136
Manavālakurichi,8.1333,77.3,83.01,45,80,8.1,IN,1613021137
Avarua,-21.2078,-159.775,82.4,78,40,2.3,CK,1613021137
Krasnoarmeysk,51.0239,45.6969,10.99,54,100,4.0,RU,1613021137
Mahébourg,-20.4081,57.7,84.0,64,85,8.99,MU,1613021137
Atuona,-9.8,-139.0333,78.44,79,1,17.6,PF,1613021138
El Reno,35.5323,-97.955,18.0,86,90,8.05,US,1613021138
Hobart,-42.8794,147.3294,75.0,38,90,11.5,AU,1613021136
New Norfolk,-42.7826,147.0587,75.0,28,96,3.0,AU,1613021138
Arraial do Cabo,-22.9661,-42.0278,73.4,82,78,3.11,BR,1613021138
Mataura,-46.1927,168.8643,51.44,79,100,11.5,NZ,1613021135
Qom,34.6401,50.8764,55.76,39,61,1.28,IR,1613020938
Christchurch,-43.5333,172.6333,77.0,25,0,8.05,NZ,1613021043
Manono,-7.3,27.4167,70.0,95,100,2.24,CD,1613021139
Castro,-24.7911,-50.0119,60.87,96,91,7.14,BR,1613021140
Vaini,-21.2,-175.2,82.4,83,20,10.36,TO,1613021140
Brae,60.3964,-1.353,33.85,83,17,10.42,GB,1613021140
Hermanus,-34.4187,19.2345,69.01,84,1,3.0,ZA,1613021141
Hasaki,35.7333,140.8333,55.99,26,20,16.11,JP,1613021141
Saskylakh,71.9167,114.0833,-21.01,84,0,5.88,RU,1613021141
Dikson,73.5069,80.5464,-22.61,86,1,4.29,RU,1613021142
Linhares,-19.3911,-40.0722,70.92,96,95,2.01,BR,1613020949
Manta,-0.95,-80.7333,77.0,88,0,2.3,EC,1613021142
Caravelas,-17.7125,-39.2481,74.7,87,39,3.83,BR,1613021142
Dolores,-36.3132,-57.6792,63.75,96,82,8.79,AR,1613021143
Puerto Escondido,15.85,-97.0667,76.64,74,0,6.4,MX,1613021143
Krutinka,56.0055,71.5113,-21.41,84,0,5.53,RU,1613021143
Buchanan,5.8808,-10.0467,77.0,94,40,4.94,LR,1613021144
George Town,5.4112,100.3354,84.2,79,20,3.44,MY,1613021144
Hithadhoo,-0.6,73.0833,82.0,80,23,12.3,MV,1613021144
Bossangoa,6.4926,17.4552,64.33,27,87,3.04,CF,1613021145
Nanortalik,60.1432,-45.2371,23.29,88,40,10.76,GL,1613021145
Bayanday,53.0661,105.5139,8.13,90,99,3.13,RU,1613021145
